iter	Passed	Remaining
453	1044	5857
454	1046	5854
455	1049	5853
456	1052	5854
457	1054	5854
458	1057	5851
459	1059	5849
460	1061	5848
461	1064	5845
462	1067	5851
463	1070	5850
464	1072	5848
465	1075	5846
466	1077	5845
467	1080	5844
468	1083	5845
469	1085	5843
470	1088	5842
471	1090	5840
472	1092	5837
473	1095	5836
474	1098	5836
475	1100	5836
476	1103	5834
477	1105	5832
478	1107	5830
479	1110	5829
480	1113	5829
481	1115	5828
482	1118	5829
483	1120	5827
484	1123	5825
485	1125	5823
486	1128	5824
487	1131	5823
488	1133	5821
489	1136	5819
490	1138	5818
491	1140	5816
492	1143	5813
493	1145	5813
494	1148	5811
495	1150	5809
496	1153	5806
497	1155	5804
498	1157	5801
499	1160	5800
500	1162	5798
501	1164	5795
502	1167	5793
503	1168	5789
504	1170	5784
505	1172	5780
506	1174	5776
507	1177	5774
508	1179	5770
509	1180	5765
510	1182	5760
511	1184	5756
512	1186	5752
513	1188	5748
514	1190	5743
515	1193	5743
516	1195	5741
517	1197	5736
518	1199	5732
519	1201	5728
520	1203	5724
521	1205	5721
522	1207	5719
523	1210	5718
524	1212	5713
525	1214	5710
526	1215	5706
527	1217	5701
528	1219	5697
529	1221	5693
530	1224	5695
531	1228	5697
532	1241	5748
533	1245	5750
534	1247	5745
535	1248	5741
536	1250	5737
537	1252	5733
538	1254	5729
539	1257	5728
540	1259	5724
541	1261	5720
542	1263	5716
543	1265	5712
544	1267	5707
545	1269	5703
546	1271	5700
547	1273	5698
548	1277	5701
549	1279	5701
550	1282	5700
551	1284	5696
552	1286	5694
553	1289	5694
554	1291	5690
555	1293	5686
556	1295	5682
557	1297	5679
558	1299	5675
559	1301	5672
560	1304	5669
561	1306	5666
562	1308	5662
563	1310	5658
564	1311	5653
565	1313	5649
566	1315	5645
567	1317	5642
568	1320	5640
569	1322	5637
570	1324	5635
571	1327	5632
572	1329	5629
573	1330	5625
574	1332	5621
575	1336	5625
576	1338	5622
577	1340	5618
578	1342	5614
579	1344	5610
580	1346	5606
581	1348	5603
582	1352	5605
583	1354	5603
584	1357	5605
585	1359	5601
586	1361	5596
587	1363	5592
588	1365	5589
589	1368	5588
590	1370	5584
591	1372	5580
592	1373	5576
593	1375	5572
594	1377	5568
595	1379	5564
596	1382	5564
597	1385	5563
598	1389	5568
599	1391	5565
600	1393	5561
601	1395	5557
602	1397	5553
603	1399	5552
604	1401	5548
605	1403	5544
606	1405	5540
607	1407	5536
608	1409	5534
609	1411	5530
610	1414	5529
611	1416	5527
612	1418	5523
613	1420	5519
614	1422	5516
615	1424	5513
616	1426	5509
617	1428	5505
618	1431	5504
619	1433	5503
620	1436	5501
621	1438	5500
622	1440	5497
623	1443	5495
624	1446	5494
625	1448	5493
626	1450	5490
