iter	RMSE
0	0.4040475627
1	0.4013882969
2	0.3988655151
3	0.3962531145
4	0.3936409201
5	0.3911260214
6	0.3885487059
7	0.3859584583
8	0.3833090654
9	0.3809002031
10	0.378505946
11	0.3761249192
12	0.3737874342
13	0.3714026278
14	0.3691176519
15	0.3668117801
16	0.3644863965
17	0.3620931773
18	0.3598051128
19	0.3575510146
20	0.3552776218
21	0.3531703672
22	0.3511031187
23	0.349005448
24	0.3468925645
25	0.3447634949
26	0.3426582637
27	0.3406210595
28	0.3384802909
29	0.3364121947
30	0.3344934201
31	0.3326798382
32	0.3308952587
33	0.3290287426
34	0.3271543154
35	0.3251419388
36	0.3231898482
37	0.3214287563
38	0.3196145226
39	0.3178531616
40	0.3159359661
41	0.3142226575
42	0.3124442825
43	0.3105513766
44	0.3087753331
45	0.3070279404
46	0.3053630594
47	0.30372297
48	0.30208435
49	0.3004741922
50	0.2988550915
51	0.297147036
52	0.2956114797
53	0.2940199313
54	0.2926764495
55	0.2910761351
56	0.2895091882
57	0.2880013007
58	0.2865138785
59	0.285043094
60	0.2835579033
61	0.281985236
62	0.2803844011
63	0.27891966
64	0.2773841587
65	0.2760179327
66	0.2746069642
67	0.2732231401
68	0.271802178
69	0.270392562
70	0.2690900587
71	0.2676718552
72	0.2663571246
73	0.265036196
74	0.2636121254
75	0.262350517
76	0.2611842051
77	0.2599476034
78	0.2586972999
79	0.2573765253
80	0.2561196376
81	0.2549478785
82	0.2537498175
83	0.2525832874
84	0.2514292998
85	0.2503306679
86	0.2492300526
87	0.2480409977
88	0.2468980954
89	0.2457195501
90	0.2445958057
91	0.2435506151
92	0.2423768169
93	0.2412075284
94	0.2401375077
95	0.2390357205
96	0.2379535607
97	0.2369055304
98	0.2358729659
99	0.2348465181
100	0.2338927656
101	0.2329256087
102	0.2319678006
103	0.2308977979
104	0.2299909844
105	0.2291272753
106	0.2281752129
107	0.2272405483
108	0.22624417
109	0.2252981617
110	0.2243413008
111	0.2233922696
112	0.2224423782
113	0.2215807385
114	0.2207632598
115	0.2198697757
116	0.2189738855
117	0.2180252015
118	0.2171393511
119	0.2163741361
120	0.2156072184
121	0.2147737807
122	0.2140421359
123	0.2132518145
124	0.2124319015
125	0.211622279
126	0.2108592621
127	0.2100489867
128	0.209342271
129	0.2085655399
130	0.2078390525
131	0.2071728114
132	0.2064876684
133	0.2057533848
134	0.20503846
135	0.204319556
136	0.2036411416
137	0.2030068873
138	0.2023784099
139	0.2017419768
140	0.2011041568
141	0.2005114716
142	0.199829837
143	0.1991492913
144	0.1984781563
145	0.1978274675
146	0.1971668729
147	0.196531575
148	0.1958347559
149	0.19526717
150	0.1946844856
151	0.1940670065
152	0.193476047
153	0.1929070534
154	0.1923291475
155	0.1917407196
156	0.1911072638
157	0.190514361
158	0.1898994864
159	0.1893040061
160	0.1886951614
161	0.1881357177
162	0.1875889464
163	0.1870414657
164	0.1865410185
165	0.1860588115
166	0.1855170157
167	0.1849944668
168	0.1844371202
169	0.183987018
170	0.1834647284
171	0.1829515109
172	0.1825607418
173	0.1821042727
174	0.181646798
175	0.1811424996
176	0.1806997889
