iter	Passed	Remaining
399	71232	254122
400	71392	253878
401	71551	253635
402	71628	253099
403	71803	252910
404	72001	252806
405	72187	252656
406	72343	252402
407	72531	252259
408	72717	252112
409	72898	251944
410	73082	251787
411	73275	251661
412	73467	251531
413	73549	251028
414	73745	250910
415	73935	250775
416	74124	250635
417	74291	250422
418	74491	250320
419	74690	250212
420	74884	250088
421	75077	249961
422	75271	249838
423	75463	249706
424	75541	249196
425	75718	249018
426	75917	248908
427	76118	248809
428	76306	248662
429	76473	248450
430	76666	248319
431	76854	248175
432	76971	247803
433	77143	247605
434	77375	247601
435	77530	247349
436	77699	247145
437	77890	247008
438	78094	246913
439	78179	246441
440	78362	246283
441	78555	246153
442	78758	246053
443	78937	245878
444	79122	245724
445	79295	245530
446	79464	245327
447	79656	245193
448	79815	244956
449	79986	244758
450	80265	244890
451	80518	244940
452	80711	244807
453	80912	244697
454	81100	244547
455	81282	244382
456	81473	244243
457	81665	244103
458	81837	243907
459	82028	243767
460	82217	243619
461	82394	243437
462	82455	242914
463	82662	242821
464	82843	242652
465	83042	242535
466	83218	242350
467	83410	242211
468	83567	241972
469	83764	241849
470	83947	241682
471	84032	241237
472	84195	241017
473	84385	240872
474	84552	240663
475	84755	240556
476	84944	240409
477	85145	240296
478	85338	240160
479	85436	239757
480	85628	239616
481	85825	239491
482	86030	239388
483	86233	239281
484	86455	239222
485	86632	239041
486	86829	238914
487	87013	238753
488	87194	238581
489	87279	238147
490	87429	237894
491	87512	237458
492	87674	237237
493	87857	237072
494	87957	236685
495	88136	236510
496	88320	236350
497	88533	236266
498	88708	236082
499	88892	235919
500	89062	235723
501	89291	235680
502	89507	235602
503	89735	235556
504	89930	235423
505	90134	235311
506	90345	235218
507	90522	235038
508	90723	234917
509	90908	234757
510	91085	234576
511	91275	234427
512	91382	234066
513	91587	233956
514	91773	233799
515	91933	233574
516	92098	233363
517	92298	233241
518	92490	233096
519	92569	232670
520	92765	232536
521	92843	232107
522	93002	231883
523	93203	231763
524	93340	231483
525	93530	231335
526	93741	231240
527	93955	231152
528	94117	230935
529	94307	230787
530	94503	230652
531	94716	230559
532	94933	230477
533	95124	230329
534	95308	230164
535	95485	229985
536	95668	229818
537	95834	229610
538	96024	229460
539	96208	229297
540	96387	229120
541	96565	228941
542	96760	228803
543	96967	228694
544	97158	228545
545	97334	228362
546	97537	228240
547	97725	228085
548	97915	227935
549	98109	227792
550	98308	227661
551	98497	227506
552	98677	227332
553	98863	227172
554	99045	227000
555	99229	226836
556	99411	226666
557	99597	226504
558	99750	226268
559	100138	226564
560	100320	226391
561	100508	226232
562	100684	226047
563	100763	225646
564	100966	225522
565	101181	225423
566	101379	225288
567	101579	225156
568	101762	224987
569	101964	224859
570	102140	224673
571	102321	224498
572	102521	224366
573	102686	224156
574	102897	224049
575	103079	223875
576	103258	223696
577	103446	223536
578	103627	223362
579	103795	223160
580	103977	222987
581	104170	222839
582	104366	222695
583	104562	222552
584	104750	222392
585	104934	222225
586	105115	222050
587	105317	221919
588	105491	221729
589	105679	221569
590	105883	221442
591	106074	221287
592	106246	221092
593	106400	220861
594	106575	220673
595	106776	220540
596	106985	220423
597	107183	220281
598	107373	220123
599	107561	219963
600	107735	219773
601	107928	219622
602	108114	219457
603	108312	219315
604	108494	219141
605	108680	218974
606	108866	218808
607	109042	218622
608	109297	218594
609	109504	218470
610	109684	218291
611	109853	218092
612	110022	217891
613	110246	217800
614	110454	217675
615	110631	217492
616	110798	217286
617	111002	217154
618	111168	216949
619	111366	216805
620	111545	216624
621	111713	216422
622	111892	216242
623	112089	216095
624	112261	215901
625	112440	215720
626	112636	215571
627	112811	215384
628	112992	215205
629	113179	215040
630	113335	214816
631	113540	214685
632	113717	214500
633	113869	214269
634	114043	214079
635	114226	213904
636	114391	213697
637	114580	213536
638	114770	213376
639	114953	213202
640	115145	213046
641	115338	212891
642	115502	212682
643	115662	212466
644	115871	212341
645	116087	212228
646	116286	212083
647	116466	211904
648	116669	211767
649	116865	211616
650	117025	211401
651	117221	211250
652	117433	211128
653	117629	210978
654	117818	210813
655	118016	210666
656	118236	210557
657	118424	210392
658	118625	210250
659	118815	210088
660	119001	209918
661	119190	209753
662	119374	209581
663	119545	209383
664	119759	209263
665	119977	209150
666	120198	209041
667	120392	208883
668	120567	208695
669	120756	208529
670	121011	208479
671	121203	208318
672	121420	208200
673	121601	208022
674	121789	207853
675	121960	207656
676	122133	207464
677	122325	207303
678	122514	207137
679	122725	207009
680	122973	206942
681	123162	206775
682	123349	206606
683	123515	206401
684	123747	206306
685	123938	206142
686	124136	205989
687	124319	205813
688	124534	205690
689	124726	205527
690	124927	205380
691	125120	205218
692	125345	205111
693	125533	204940
694	125691	204722
695	125839	204489
696	126041	204342
697	126225	204167
698	126428	204022
699	126632	203878
700	126849	203755
701	127048	203602
702	127197	203371
703	127364	203167
704	127560	203011
705	127769	202874
706	127974	202731
707	128141	202528
708	128314	202335
709	128495	202154
710	128659	201945
711	128826	201743
712	129046	201624
713	129237	201459
714	129392	201237
715	129610	201112
716	129787	200927
717	129973	200752
718	130146	200559
719	130344	200403
720	130590	200323
721	130783	200160
722	130972	199990
723	131175	199842
724	131380	199697
725	131562	199517
726	131738	199329
727	131936	199174
728	132144	199031
729	132325	198850
730	132510	198674
731	132713	198526
732	132914	198374
733	133100	198199
734	133306	198054
735	133501	197894
736	133708	197750
737	133893	197574
738	134057	197368
739	134270	197231
740	134460	197063
741	134676	196932
742	134866	196763
743	135096	196652
744	135307	196514
745	135499	196347
746	135703	196197
747	135903	196042
748	136093	195872
749	136274	195689
750	136457	195510
751	136661	195360
752	136871	195219
753	137085	195083
754	137284	194925
755	137470	194749
756	137662	194582
757	137848	194406
758	138003	194186
759	138230	194068
760	138437	193922
761	138640	193768
762	138814	193575
763	139021	193428
764	139213	193261
765	139407	193096
766	139600	192928
767	139807	192782
768	140008	192625
769	140218	192481
770	140405	192306
771	140570	192101
772	140771	191944
773	140975	191792
774	141168	191624
775	141397	191505
776	141601	191352
777	141804	191198
778	141987	191018
779	142174	190842
780	142403	190721
781	142607	190569
782	142790	190387
783	143000	190241
784	143171	190043
785	143349	189855
786	143536	189679
787	143731	189513
788	143922	189342
789	144091	189142
790	144269	188954
791	144474	188801
792	144671	188638
793	144853	188455
794	145034	188271
