iter	RMSE
0	0.3908851049
1	0.3829929851
2	0.3754762661
3	0.3678074929
4	0.3608681092
5	0.3538999815
6	0.3470921456
7	0.340083111
8	0.3339625406
9	0.3278409055
10	0.3213288161
11	0.3154143121
12	0.3102608066
13	0.3045181196
14	0.2994161108
15	0.2936650704
16	0.2884849735
17	0.2833211244
18	0.2785837462
19	0.2738419123
20	0.2696165128
21	0.2652191138
22	0.2610657335
23	0.2566996572
24	0.2523235282
25	0.2481867126
26	0.244213009
27	0.2404821675
28	0.2373575972
29	0.2336107281
30	0.2301063979
31	0.2266294544
32	0.2235632894
33	0.2205753079
34	0.217483136
35	0.2143257949
36	0.211361139
37	0.2084900469
38	0.2055914353
39	0.2028589138
40	0.200723768
41	0.1982990938
42	0.1958621395
43	0.1933234629
44	0.1912490923
45	0.1889118315
46	0.1866182308
47	0.1844216158
48	0.182209672
49	0.1800545755
50	0.178074159
51	0.1763599242
52	0.1746237007
53	0.1727781405
54	0.1711357024
55	0.1693041926
56	0.1677922132
57	0.1661294354
58	0.1646577071
59	0.1630604715
60	0.1615796811
61	0.1602072835
62	0.1587312641
63	0.1574233271
64	0.1559314661
65	0.1546353661
66	0.1534120102
67	0.1521432001
68	0.1507672115
69	0.1496769819
70	0.148374311
71	0.1470708884
72	0.14593429
73	0.1448564152
74	0.1437758286
75	0.1426615015
76	0.141600892
77	0.1406208655
78	0.1396122016
79	0.1386485406
80	0.1376464372
81	0.1368185242
82	0.1360347428
83	0.1352404451
84	0.1344371052
85	0.133634632
86	0.1328616842
87	0.1320781891
88	0.1313017731
89	0.1305927274
90	0.1298202976
91	0.1291265383
92	0.1282204913
93	0.1275739121
94	0.1269374619
95	0.1261888421
96	0.1255984676
97	0.1248866063
98	0.1242785608
99	0.1236698174
100	0.1230582565
101	0.1224707925
102	0.121878041
103	0.1214005624
104	0.1208008296
105	0.1202577582
106	0.1198369719
107	0.1192757418
108	0.118730304
109	0.1182520413
110	0.1177897814
111	0.1175297366
112	0.1170438162
113	0.1165473353
114	0.1159185782
115	0.1154702171
116	0.1149527461
117	0.1144783688
118	0.1140408996
119	0.1136281782
120	0.113298555
121	0.1129283952
122	0.112691849
123	0.112301353
124	0.111884694
125	0.1114660266
126	0.1111187176
127	0.1107722509
128	0.1103767629
129	0.110050695
130	0.1096598711
131	0.109298368
132	0.1088898196
133	0.1085678664
134	0.108238309
135	0.1078639781
136	0.1074929265
137	0.1072186812
138	0.1068971833
139	0.1065435969
140	0.1062330615
141	0.1058523646
142	0.1055296788
143	0.1052769307
144	0.1050104741
145	0.1048081211
146	0.1044895231
