PriceSegment,count,mean_residual,mae
Mainstream_50pct,146,1381.139164961278,16904.672804296388
UpperMid_40pct,116,-5701.383651310161,19144.78655866486
Luxury_10pct,30,46127.833401689546,55377.621865068475
