OverallQual,count,mean_residual,mae
10,5,88144.89955537408,94407.12169753184
9,7,62493.40542037356,64061.55376347554
8,33,2957.180763490025,29090.888600220656
3,4,22823.171964757406,22823.171964757406
7,61,-6905.994391417306,20934.834353731872
4,28,5499.02132497806,20404.600897220098
2,2,2304.544939231011,18704.405634383205
5,89,4028.5015983989574,16882.27963098726
6,63,-3790.3149769766783,15716.86048507478
