Scenario,Rows,MAE,RMSE,R2,OutlierCount
with_outliers,1460,28121.524151747955,43032.150480414624,0.7585805446926186,2
without_outliers,1458,26877.315105216487,35091.58012382567,0.7770673830033358,0
