Model,CV RMSE,CV Std
CatBoost,0.13490807298914004,0.015228826978206959
XGBoost,0.14051636258254216,0.016254417898825445
LightGBM,0.14543669745910592,0.01755493300550315
RandomForest,0.14706525161492082,0.015663371699504186
