Model,CV RMSE Mean,CV RMSE Std
ElasticNet,0.1561616360216535,0.035046359705558125
Lasso,0.15622136180290974,0.03522721335607219
Ridge,0.15681813011385232,0.034380989776254076
Linear Regression,0.15944327476300374,0.033400148468619335
