Model,CV RMSE
ElasticNet,0.1561616360216535
Lasso,0.1562213618029097
Ridge,0.1568181301138523
Linear Regression,0.1594432747630037
CatBoost,0.13490807298914
XGBoost,0.1405163625825421
LightGBM,0.1454366974591059
RandomForest,0.1470652516149208
Stacking,0.1406059819444649
