Model,CV_RMSE,CV_STD,Group
CatBoost,0.13490807298914,0.0152288269782069,Boosting
XGBoost,0.1405163625825421,0.0162544178988254,Boosting
Stacking,0.1406059819444649,,Stacking
LightGBM,0.1454366974591059,0.0175549330055031,Boosting
RandomForest,0.1470652516149208,0.0156633716995041,Boosting
ElasticNet,0.1561616360216535,0.0350463597055581,Baseline
Lasso,0.1562213618029097,0.0352272133560721,Baseline
Ridge,0.1568181301138523,0.034380989776254,Baseline
Linear Regression,0.1594432747630037,0.0334001484686193,Baseline
